repo_url,hash,committer,committer_date,merge,filename,programming_language,signature,code,label,before_change,added_only,mod_lines
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,decodeElementIndex descriptor : SerialDescriptor,"    override fun decodeElementIndex(descriptor: SerialDescriptor): Int = 0
}",1,True,False,0
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,decodeElementIndex descriptor : SerialDescriptor,"    override fun decodeElementIndex(descriptor: SerialDescriptor): Int = DECODE_DONE
}",0,False,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,"createPolymorphicMapDeserializer node : YamlMap , context : SerializersModule , configuration : YamlConfiguration","        private fun createPolymorphicMapDeserializer(node: YamlMap, context: SerializersModule, configuration: YamlConfiguration): YamlPolymorphicInput {
            val desiredKey = configuration.polymorphismPropertyName
            when (val typeName = node.getValue(desiredKey)) {
                is YamlList -> throw InvalidPropertyValueException(desiredKey, ""expected a string, but got a list"", typeName.path)
                is YamlMap -> throw InvalidPropertyValueException(desiredKey, ""expected a string, but got a map"", typeName.path)
                is YamlNull -> throw InvalidPropertyValueException(desiredKey, ""expected a string, but got a null value"", typeName.path)
                is YamlTaggedNode -> throw InvalidPropertyValueException(desiredKey, ""expected a string, but got a tagged value"", typeName.path)
                is YamlScalar -> {
                    val remainingProperties = node.withoutKey(desiredKey)

                    return YamlPolymorphicInput(typeName.content, typeName.path, remainingProperties, context, configuration)
                }
            }
        }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,get,"            return this.get(desiredKey) ?: throw MissingRequiredPropertyException(desiredKey, this.path)
        }

        private fun YamlMap.withoutKey(key: String): YamlMap {
            return this.copy(entries = entries.filterKeys { it.content != key })
        }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,decodeSerializableValue deserializer : DeserializationStrategy < T >,"    override fun <T> decodeSerializableValue(deserializer: DeserializationStrategy<T>): T {
        try {
            return super.decodeSerializableValue(deserializer)
        } catch (e: SerializationException) {
            throwIfMissingRequiredPropertyException(e)

            throw e
        }
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,throwIfMissingRequiredPropertyException e : SerializationException,"    private fun throwIfMissingRequiredPropertyException(e: SerializationException) {
        val match = missingFieldExceptionMessage.matchEntire(e.message!!) ?: return

        throw MissingRequiredPropertyException(match.groupValues[1], node.path, e)
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,decodeEnum enumDescriptor : SerialDescriptor,"    override fun decodeEnum(enumDescriptor: SerialDescriptor): Int {
        val index = enumDescriptor.getElementIndex(scalar.content)

        if (index != UNKNOWN_NAME) {
            return index
        }

        val choices = (0..enumDescriptor.elementsCount - 1)
            .map { enumDescriptor.getElementName(it) }
            .sorted()
            .joinToString("", "")

        throw YamlScalarFormatException(""Value ${scalar.contentToString()} is not a valid option, permitted choices are: $choices"", scalar.path, scalar.content)
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,decodeNotNullMark,"    override fun decodeNotNullMark(): Boolean {
        if (!haveStartedReadingElements) {
            return true
        }

        return currentElementDecoder.decodeNotNullMark()
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,beginStructure descriptor : SerialDescriptor,"    override fun beginStructure(descriptor: SerialDescriptor): CompositeDecoder {
        if (haveStartedReadingElements) {
            return currentElementDecoder
        }

        return super.beginStructure(descriptor)
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,getCurrentPath,"    override fun getCurrentPath(): YamlPath {
        return if (haveStartedReadingElements) {
            currentElementDecoder.node.path
        } else {
            list.path
        }
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,getCurrentLocation,"    override fun getCurrentLocation(): Location = getCurrentPath().endLocation
}",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,getCurrentPath,"    override fun getCurrentPath(): YamlPath = node.path
}",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,decodeNotNullMark,"    override fun decodeNotNullMark(): Boolean {
        if (!haveStartedReadingEntries) {
            return true
        }

        return fromCurrentValue { decodeNotNullMark() }
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,fromCurrentValue action : YamlInput . -> T,"    protected fun <T> fromCurrentValue(action: YamlInput.() -> T): T {
        try {
            return action(currentValueDecoder)
        } catch (e: YamlException) {
            if (currentlyReadingValue) {
                throw InvalidPropertyValueException(propertyName, e.message, e.path, e)
            } else {
                throw e
            }
        }
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,getCurrentPath,"    override fun getCurrentPath(): YamlPath {
        return if (haveStartedReadingEntries) {
            currentValueDecoder.node.path
        } else {
            node.path
        }
    }",0,True,False,
https://github.com/charleskorn/kaml.git,e18785d043fc6324c81e968aae9764b4b060bc6a,Charles Korn,2021-09-05 16:26:07+10:00,False,YamlInput.kt,Kotlin,get,"        get() = currentKey.content
}",0,True,False,
